YEAR,INFCPI10YR
1984,
1984,
1984,
1984,
1985,
1985,
1985,
1985,
1986,
1986,
1986,
1986,
1987,
1987,
1987,
1987,
1988,
1988,
1988,
1988,
1989,
1989,
1989,
1989,
1990,
1990,
1990,
1990,
1991,
1991,
1991,
1991,4.00
1992,3.70
1992,3.90
1992,3.75
1992,3.60
1993,3.50
1993,3.70
1993,3.45
1993,3.45
1994,3.45
1994,3.50
1994,3.50
1994,3.50
1995,3.30
1995,3.35
1995,3.20
1995,3.00
1996,3.00
1996,3.00
1996,3.00
1996,3.00
1997,3.00
1997,2.85
1997,3.00
1997,2.65
1998,2.60
1998,2.50
1998,2.50
1998,2.50
1999,2.30
1999,2.50
1999,2.50
1999,2.50
2000,2.50
2000,2.50
2000,2.50
2000,2.50
2001,2.50
2001,2.50
2001,2.50
2001,2.55
2002,2.50
2002,2.50
2002,2.50
2002,2.45
2003,2.50
2003,2.50
2003,2.50
2003,2.50
2004,2.50
2004,2.50
2004,2.50
2004,2.50
2005,2.45
2005,2.50
2005,2.50
2005,2.50
2006,2.50
2006,2.50
2006,2.50
2006,2.50
2007,2.35
2007,2.40
2007,2.40
2007,2.40
2008,2.50
2008,2.50
2008,2.50
2008,2.50
2009,2.40
2009,2.50
2009,2.50
2009,2.26
2010,2.39
2010,2.40
2010,2.30
2010,2.20
2011,2.30
2011,2.40
2011,2.40
2011,2.50
2012,2.30
2012,2.48
2012,2.35
2012,2.30
2013,2.30
2013,2.30
2013,2.21
2013,2.30
2014,2.30
2014,2.25
2014,2.20
2014,2.20
2015,2.10
2015,2.14
2015,2.15
2015,2.15
2016,2.12
2016,2.20
2016,2.15
2016,2.22
2017,2.30
2017,2.30
2017,2.25
2017,2.20
2018,2.25
2018,2.30
2018,2.20
2018,2.21
