,output,nairu
31/03/1984,7662.49,6.08
30/06/1984,7733.07,6.07
30/09/1984,7805.29,6.06
31/12/1984,7878.75,6.05
31/03/1985,7952.6,6.04
30/06/1985,8026.94,6.03
30/09/1985,8101.39,6.02
31/12/1985,8175.4,6.01
31/03/1986,8248.88,6
30/06/1986,8322.17,5.99
30/09/1986,8395.41,5.97
31/12/1986,8468.5,5.96
31/03/1987,8541.12,5.95
30/06/1987,8613.19,5.93
30/09/1987,8684.89,5.92
31/12/1987,8756.59,5.9
31/03/1988,8827.71,5.89
30/06/1988,8898.89,5.87
30/09/1988,8969.69,5.85
31/12/1988,9040.55,5.83
31/03/1989,9111.11,5.81
30/06/1989,9181.49,5.79
30/09/1989,9251.59,5.77
31/12/1989,9320.7,5.75
31/03/1990,9387.91,5.73
30/06/1990,9453.68,5.71
30/09/1990,9517.34,5.69
31/12/1990,9578.88,5.67
31/03/1991,9638.8,5.66
30/06/1991,9697.21,5.64
30/09/1991,9754.72,5.62
31/12/1991,9812.23,5.6
31/03/1992,9870.01,5.59
30/06/1992,9928.7,5.57
30/09/1992,9988.83,5.55
31/12/1992,10049.74,5.54
31/03/1993,10111.67,5.52
30/06/1993,10175.19,5.51
30/09/1993,10239.47,5.49
31/12/1993,10304.67,5.48
31/03/1994,10370.48,5.47
30/06/1994,10436.58,5.45
30/09/1994,10503.9,5.44
31/12/1994,10572.05,5.43
31/03/1995,10640.57,5.42
30/06/1995,10710.13,5.41
30/09/1995,10780.34,5.4
31/12/1995,10852.25,5.39
31/03/1996,10925.53,5.38
30/06/1996,11004.11,5.37
30/09/1996,11089.14,5.36
31/12/1996,11180.24,5.35
31/03/1997,11277.21,5.34
30/06/1997,11379.31,5.33
30/09/1997,11486.87,5.32
31/12/1997,11598.68,5.31
31/03/1998,11714.45,5.3
30/06/1998,11833.9,5.29
30/09/1998,11955.66,5.29
31/12/1998,12079.57,5.28
31/03/1999,12206.26,5.27
30/06/1999,12334.38,5.26
30/09/1999,12464.61,5.25
31/12/1999,12597.13,5.24
31/03/2000,12731.24,5.22
30/06/2000,12863.28,5.21
30/09/2000,12991.39,5.2
31/12/2000,13114.52,5.19
31/03/2001,13233.12,5.18
30/06/2001,13346.38,5.17
30/09/2001,13454.5,5.16
31/12/2001,13557.49,5.15
31/03/2002,13655.83,5.14
30/06/2002,13751.28,5.13
30/09/2002,13844.8,5.12
31/12/2002,13937.25,5.11
31/03/2003,14029.3,5.1
30/06/2003,14122.26,5.09
30/09/2003,14215.73,5.08
31/12/2003,14310.52,5.07
31/03/2004,14407.29,5.06
30/06/2004,14506.14,5.05
30/09/2004,14607.33,5.04
31/12/2004,14710.11,5.03
31/03/2005,14810.88,5.02
30/06/2005,14908.47,5.01
30/09/2005,15003.9,5
31/12/2005,15096.59,5
31/03/2006,15185.74,4.99
30/06/2006,15272.11,4.98
30/09/2006,15354.1,4.98
31/12/2006,15431.42,4.97
31/03/2007,15506.14,4.95
30/06/2007,15581.21,4.94
30/09/2007,15656.62,4.92
31/12/2007,15731.06,4.91
31/03/2008,15804.17,4.89
30/06/2008,15873.94,4.88
30/09/2008,15938.82,4.88
31/12/2008,15998.44,4.89
31/03/2009,16051.57,4.9
30/06/2009,16099.58,4.92
30/09/2009,16143.76,4.95
31/12/2009,16186.23,4.98
31/03/2010,16228.82,5.01
30/06/2010,16273.51,5.03
30/09/2010,16320.99,5.05
31/12/2010,16370.91,5.06
31/03/2011,16423.45,5.07
30/06/2011,16478.53,5.08
30/09/2011,16536.39,5.08
31/12/2011,16596.56,5.07
31/03/2012,16659.21,5.06
30/06/2012,16724.59,5.04
30/09/2012,16792,5.02
31/12/2012,16860.9,4.99
31/03/2013,16930.9,4.97
30/06/2013,17001.93,4.94
30/09/2013,17073.43,4.91
31/12/2013,17145.98,4.88
31/03/2014,17219.14,4.86
30/06/2014,17292.98,4.82
30/09/2014,17367.99,4.79
31/12/2014,17443.73,4.76
31/03/2015,17520,4.73
30/06/2015,17596.56,4.7
30/09/2015,17672.51,4.67
31/12/2015,17747.58,4.64
31/03/2016,17821.97,4.62
30/06/2016,17895.64,4.59
30/09/2016,17969,4.57
31/12/2016,18042.4,4.56
31/03/2017,18116.74,4.54
30/06/2017,18191.67,4.53
30/09/2017,18269.93,4.52
31/12/2017,18351.22,4.51
31/03/2018,18436.12,4.5
30/06/2018,18524.91,4.49
