,IP,BDI,GCI
31/03/1985,53.28,1016,0.29
30/06/1985,53.54,872,0.28
30/09/1985,53.77,894,0.39
31/12/1985,54.10,898,-0.36
31/03/1986,54.15,734,-0.92
30/06/1986,54.42,586,-0.26
30/09/1986,54.88,800,-0.05
31/12/1986,55.37,699,-0.27
31/03/1987,55.84,992,0.71
30/06/1987,56.57,880,1.92
30/09/1987,57.32,1045,1.89
31/12/1987,58.50,1264,1.96
31/03/1988,59.40,1617,0.98
30/06/1988,59.89,1208,0.42
30/09/1988,60.49,1270,0.78
31/12/1988,61.44,1543,1.12
31/03/1989,61.67,1631,0.09
30/06/1989,62.25,1413,-0.35
30/09/1989,62.09,1420,-0.21
31/12/1989,62.77,1592,0.31
31/03/1990,63.04,1529,0.10
30/06/1990,63.32,1089,-0.05
30/09/1990,63.78,1168,-0.36
31/12/1990,63.30,1446,-1.76
31/03/1991,62.73,1609,-1.24
30/06/1991,63.57,1703,-0.07
30/09/1991,63.82,1524,-0.58
31/12/1991,63.51,1494,-0.42
31/03/1992,64.16,1180,-0.31
30/06/1992,64.19,1091,-0.85
30/09/1992,64.42,1041,-0.79
31/12/1992,64.12,1373,-1.37
31/03/1993,65.01,1503,-0.86
30/06/1993,65.16,1473,-0.82
30/09/1993,65.33,1415,-0.17
31/12/1993,65.91,1215,0.11
31/03/1994,66.62,1206,0.99
30/06/1994,67.90,1334,1.08
30/09/1994,69.02,1656,1.36
31/12/1994,70.93,1965,1.13
31/03/1995,70.78,2209,-0.52
30/06/1995,71.17,1979,-0.44
30/09/1995,71.55,1920,-0.18
31/12/1995,72.48,1604,-0.07
31/03/1996,72.68,1448,-0.11
30/06/1996,73.56,1193,0.33
30/09/1996,74.47,1000,0.55
31/12/1996,75.42,1516,0.80
31/03/1997,76.71,1513,0.77
30/06/1997,77.99,1320,1.01
30/09/1997,79.01,1277,0.90
31/12/1997,79.37,1231,-0.47
31/03/1998,79.58,966,-1.69
30/06/1998,79.55,856,-1.27
30/09/1998,79.93,946,-0.63
31/12/1998,80.20,794,-0.66
31/03/1999,81.15,902,0.53
30/06/1999,82.00,970,0.75
30/09/1999,83.47,1243,1.72
31/12/1999,85.53,1319,2.09
31/03/2000,86.07,1660,1.80
30/06/2000,87.44,1616,1.16
30/09/2000,87.99,1739,0.19
31/12/2000,88.92,1599,-0.94
31/03/2001,87.63,1438,-1.78
30/06/2001,87.01,1386,-2.88
30/09/2001,86.29,952,-2.16
31/12/2001,85.84,876,-1.90
31/03/2002,87.36,1082,0.32
30/06/2002,88.48,1005,0.63
30/09/2002,89.41,1367,-0.50
31/12/2002,89.51,1738,-0.88
31/03/2003,90.54,1939,-0.69
30/06/2003,90.55,2125,-0.25
30/09/2003,91.97,2993,1.36
31/12/2003,93.79,4765,2.32
31/03/2004,94.84,4822,0.85
30/06/2004,95.71,3005,0.44
30/09/2004,96.81,4105,0.23
31/12/2004,97.73,4598,0.66
31/03/2005,98.78,4637,0.67
30/06/2005,99.79,2521,0.29
30/09/2005,100.28,2907,1.28
31/12/2005,102.61,2407,1.50
31/03/2006,103.70,2496,1.24
30/06/2006,105.17,2964,0.56
30/09/2006,106.33,3944,0.65
31/12/2006,108.57,4397,1.65
31/03/2007,110.15,5388,1.14
30/06/2007,111.48,6278,1.19
30/09/2007,112.53,9474,0.73
31/12/2007,113.99,9143,0.80
31/03/2008,114.69,8081,-0.79
30/06/2008,114.47,9589,-2.67
30/09/2008,111.54,3217,-4.19
31/12/2008,103.42,774,-9.44
31/03/2009,100.84,1615,-5.29
30/06/2009,102.60,3757,1.49
30/09/2009,105.54,2220,2.47
31/12/2009,107.67,3005,2.06
31/03/2010,111.13,2998,2.97
30/06/2010,112.36,2406,1.49
30/09/2010,113.57,2446,1.03
31/12/2010,116.12,1773,1.25
31/03/2011,117.20,1530,0.19
30/06/2011,117.99,1413,-0.35
30/09/2011,118.53,1899,-0.26
31/12/2011,118.41,1738,-0.04
31/03/2012,118.99,934,0.17
30/06/2012,118.39,1004,-0.91
30/09/2012,117.76,766,-1.15
31/12/2012,118.57,699,-0.61
31/03/2013,119.35,910,0.24
30/06/2013,119.38,1171,-0.33
30/09/2013,121.00,2003,0.42
31/12/2013,121.24,2277,0.35
31/03/2014,122.81,1362,-0.05
30/06/2014,123.23,850,-0.30
30/09/2014,123.49,1063,0.26
31/12/2014,123.83,782,-0.07
31/03/2015,124.13,602,-0.44
30/06/2015,124.34,800,-0.12
30/09/2015,124.37,900,-0.75
31/12/2015,124.01,478,-0.43
31/03/2016,125.28,429,-0.31
30/06/2016,126.32,660,-0.25
30/09/2016,125.96,875,0.31
31/12/2016,126.89,961,-0.06
31/03/2017,129.02,1297,0.18
30/06/2017,129.48,901,0.59
30/09/2017,130.46,1356,0.42
31/12/2017,131.96,1366,0.65
